,text,label
0,Triple Talaq par Burbak Kuchh nahi bolega,0
1,Batao ye uss site pr se akki sir ke verdict nikaal laaye jaha he ajay ki ek bi movie hit nai,1
2,Hindu baheno par julam bardas nahi hoga @TripleTalaq Hindu daram par lago hoga hamari Hindu baheno ki soraksa ke liye,0
3,Naa bhai.. aisa nhi hai.. mere handle karne se bhi kuchh hona nhi hai.. politics se mera door door tak ka naata nhi hai,0
4,#RememberingRajiv aaj agar musalman auraten triple talaq ki wajah se itni jaleel ho rahi hai to iss ka sabse bada reason Rajib gandhi hai.,0
5,are cricket se sanyas le liya kya viru aur social service suru kardiya.khel hi bhul gaye.2 innings 0 n 0,0
6,Sohail bahi hame bhi treen kardo muje bhi shock he cricket,0
7,bhai triple talaq se aap kya samjhte hai samjhaye aap zara ..agar triple talaq pta hota apko toh aisa nhi kehte..,0
8,Bachcho ki death par politics ke bajay unke liye prayer aur unki family ko console kiya jana jyada zaruri he.. thodi humanity bhi zaruri he,0
9,"#@spn_cricket lijiye S Thakur ne phir pahni no.10 jarsi, inka kharab din chalu ho gaya..@BCCI#Slsvind",0
10,Itna hungama to #TripleTalaq par muslims me bhi nahi hua.. Jitna #RamRahimVerdict par Dharamguruao me ho raha h.. #CongressWithRamRahim,0
11,#Bollywood @amitdey10510709   Bhaag Milkha Bhaag!,0
12,bhau Bollywood ka main adda Mumbai hai...   Jaha rahne k liye heroin ki cha mud jati hai.  Aao kabhi haweli(Maharashtra) pe,0
13,Bhai kuchh bhi karna iss @SimplySajidK ke saath movie mat karna..Bollywood se nafrat ho jaati hai..Itni sadi hui ghatiya filmein banata h ye,0
14,"#veerupanti : tag line ""Cricket jo hai Anishchittaon ka khel hai """,0
15,Chayawadi baat kyu kr rhi hai madam aap..khul kr condem kegeye..mere smjh se administrator ko politics se dur rhna chahiye..desh ke liye,0
16,Abusing tweet ke liye Account suspend karte ho...   Woh bhi wo desh me... Jahan gali gali me yahi language use hota hai...   #Irony,1
17,Hindu Married men to Mr. Modi: triple talaq toh nipat gaya ab woh saat janmoon wala masla bhi nipata dijeyega  @narendramodi,0
18,"#TripleTalaq ""Modiji woh teen talaak ka matter clear ho jaaye,  toh woh saat janam wala matter bhi dekh lijiye please.""",0
19,"Muslims triple talaq ka darr dikhake apni biwiyo ka roj rape karte hn, talak- nikah- baccho ki factory.",0
20,abhi chaat k kya matlab. Jisko samjhana tha samajh gaya tum sale intrviw to saare englsh mein dete to Bollywood kaho HIndi Film indutry nahi,0
21,"Congress isame kuch nahi bolti esaliye Modi pachad Raha hai har jagah ,avasarvadi politics Congress karate hai Modi gorakshko bhi data hai",0
22,#TripleTalaq aur Burkha pe bolne ko bolo toh Anand bhais kalti maar lete hai.,0
